Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,16.55,0,0
228.9,23.24,0,0.0
284.22,29.31,6.69,0.0
346.36,34.46,12.76,0.0
406.47,35.14,17.91,0.0
445.42,33.91,18.59,0.0
481.58,36.28,18.59,-1.23
511.02,39.25,20.96,-1.23
549.38,43.33,23.93,-1.23
576.26,44.51,28.01,-1.23
606.08,42.93,29.19,-1.23
643.32,41.5,29.19,-2.81
671.45,41.72,29.19,-4.24
699.05,42.3,29.41,-4.24
740.68,41.88,29.99,-4.24
769.67,38.25,29.99,-4.66
814.33,32.03,29.99,-8.29
876.05,25.72,29.99,-14.51
917.68,22.89,29.99,-20.82
952.23,23.04,29.99,-23.65
1002.89,26.8,30.14,-23.65
1034.94,29.48,33.9,-23.65
1077.8,30.37,36.58,-23.65
1108.49,31.31,37.47,-23.65
1137.09,31.13,38.41,-23.65
1162.98,30.75,38.41,-23.83
1202.1,30.39,38.41,-24.21
1247.42,29.48,38.41,-24.57
1325.09,26.93,38.41,-25.48
1387.32,26.36,38.41,-28.03
1499.03,30.5,38.41,-28.6
1619.92,35.54,42.55,-28.6
1674.59,35.13,47.59,-28.6
1735.25,37.55,47.59,-29.01
1768.45,38.36,50.01,-29.01
1813.7,37.78,50.82,-29.01
1859.05,36.91,50.82,-29.59
1900.65,35.81,50.82,-30.46
1976.95,34.72,50.82,-31.56
2024.28,34.49,50.82,-32.65
2075.44,34.42,50.82,-32.88
2163.61,39.03,50.82,-32.95
2220.11,37.04,55.43,-32.95
2269.31,35.75,55.43,-34.94
2358.79,34.97,55.43,-36.23
2542.18,40.3,55.43,-37.01
2583.43,40.03,60.76,-37.01
2721.17,35.49,60.76,-37.28
2812.68,35.25,60.76,-41.82
2872.01,36.01,60.76,-42.06
2942.94,36.63,61.52,-42.06
3006.03,35.83,62.14,-42.06
3078.25,35.72,62.14,-42.86
3152.49,40.37,62.14,-42.97
3270.6,37.85,66.79,-42.97
3417.01,39.93,66.79,-45.49
3719.86,43.32,68.87,-45.49
3759.9,42.52,72.26,-45.49
3879.31,39.04,72.26,-46.29
3976.86,38.87,72.26,-49.77
4005.45,36.98,72.26,-49.94
4054.85,36.99,72.26,-51.83
4076.63,37.64,72.27,-51.83
4112.16,40.08,72.92,-51.83
4152.6,42.76,75.36,-51.83
4203.36,39.7,78.04,-51.83
4284.61,35.21,78.04,-54.89
4337.33,35.85,78.04,-59.38
4388.8,36.18,78.68,-59.38
4451.58,34.25,79.01,-59.38
4483.17,34.03,79.01,-61.31
4527.17,33.94,79.01,-61.53
4586.05,34.0,79.01,-61.62
4642.23,34.14,79.07,-61.62
4678.58,34.03,79.21,-61.62
4774.43,37.9,79.21,-61.73
4839.97,35.89,83.08,-61.73
5112.37,39.85,83.08,-63.74
5155.36,40.22,87.04,-63.74
5284.39,36.01,87.41,-63.74
5378.2,35.04,87.41,-67.95
5440.9,35.88,87.41,-68.92
5513.81,36.58,88.25,-68.92
5572.06,36.17,88.95,-68.92
5640.05,35.22,88.95,-69.33
5714.99,39.42,88.95,-70.28
5793.27,39.09,93.15,-70.28
6306.09,44.2,93.15,-70.61
6349.65,42.04,98.26,-70.61
6474.56,39.74,98.26,-72.77
6564.07,37.99,98.26,-75.07
6594.87,36.65,98.26,-76.82
6640.98,37.5,98.26,-78.16
6714.78,42.2,99.11,-78.16
6749.33,41.46,103.81,-78.16
6783.88,42.27,103.81,-78.9
6809.96,40.76,104.62,-78.9
6874.51,36.78,104.62,-80.41
6921.53,34.85,104.62,-84.39
7011.05,36.44,104.62,-86.32
7076.88,29.87,106.21,-86.32
7131.88,25.5,106.21,-92.89
7170.33,23.09,106.21,-97.26
7228.65,23.28,106.21,-99.67
7291.42,25.01,106.4,-99.67
7337.53,25.1,108.13,-99.67
7417.61,27.2,108.22,-99.67
7538.24,23.16,110.32,-99.67
7596.67,24.27,110.32,-103.71
7660.66,24.7,111.43,-103.71
7708.44,21.21,111.86,-103.71
7756.21,19.26,111.86,-107.2
7786.14,20.15,111.86,-109.15
7813.75,21.15,112.75,-109.15
7844.54,23.17,113.75,-109.15
7875.28,25.2,115.77,-109.15
7921.95,26.81,117.8,-109.15
7972.71,23.25,119.41,-109.15
8019.62,19.37,119.41,-112.71
8051.97,19.56,119.41,-116.59
8118.19,12.96,119.6,-116.59
8204.46,10.68,119.6,-123.19
8285.69,12.99,119.6,-125.47
8315.51,16.11,121.91,-125.47
8362.18,18.64,125.03,-125.47
8431.41,20.19,127.56,-125.47
8660.31,16.34,129.11,-125.47
8688.9,16.46,129.11,-129.32
