Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,30.17,0,0
161.61,50.74,0,0.0
350.44,21.31,20.57,0.0
528.6,24.74,20.57,-29.43
680.06,25.02,24.0,-29.43
763.47,28.01,24.28,-29.43
923.4,28.25,27.27,-29.43
1057.67,32.59,27.51,-29.43
1160.48,29.2,31.85,-29.43
1265.86,22.02,31.85,-32.82
1419.51,15.62,31.85,-40.0
1754.5,29.31,31.85,-46.4
1939.2,32.89,45.54,-46.4
2165.71,36.99,49.12,-46.4
2354.23,43.38,53.22,-46.4
3051.81,44.24,59.61,-46.4
3203.47,39.66,60.47,-46.4
3342.86,35.21,60.47,-50.98
3458.38,28.99,60.47,-55.43
3744.59,24.32,60.47,-61.65
3986.03,24.22,60.47,-66.32
4114.07,18.79,60.47,-66.42
4167.74,19.67,60.47,-71.85
4229.48,22.65,61.35,-71.85
4336.36,24.62,64.33,-71.85
4401.69,19.4,66.3,-71.85
4658.35,10.75,66.3,-77.07
4780.09,20.04,66.3,-85.72
5019.9,35.61,75.59,-85.72
5117.1,39.32,91.16,-85.72
5191.65,44.74,94.87,-85.72
5309.37,43.22,100.29,-85.72
5457.56,26.02,100.29,-87.24
5671.72,30.47,100.29,-104.44
5790.03,30.39,104.74,-104.44
5972.97,26.53,104.74,-104.52
6267.09,35.51,104.74,-108.38
6377.86,39.07,113.72,-108.38
6533.7,37.09,117.28,-108.38
6770.53,39.6,117.28,-110.36
6933.79,33.71,119.79,-110.36
7170.24,41.36,119.79,-116.25
7433.91,34.96,127.44,-116.25
7638.08,31.73,127.44,-122.65
7799.19,29.05,127.44,-125.88
8169.96,33.57,127.44,-128.56
8440.68,30.12,131.96,-128.56
8487.24,35.18,131.96,-132.01
8617.78,29.46,137.02,-132.01
8767.45,26.5,137.02,-137.73
8898.17,32.85,137.02,-140.69
8993.51,30.39,143.37,-140.69
9152.35,21.25,143.37,-143.15
9290.94,16.46,143.37,-152.29
9410.27,23.01,143.37,-157.08
9670.64,28.21,149.92,-157.08
9780.65,31.32,155.12,-157.08
9997.22,37.18,158.23,-157.08
10164.44,35.54,164.09,-157.08
10262.81,46.09,164.09,-158.72
10976.85,43.85,174.64,-158.72
11044.34,40.92,174.64,-160.96
11156.37,35.89,174.64,-163.89
11272.74,35.28,174.64,-168.92
11645.16,24.9,174.64,-169.53
11829.74,24.37,174.64,-179.91
11975.33,19.42,174.64,-180.44
12059.32,20.9,174.64,-185.39
12161.45,26.67,176.12,-185.39
12233.83,20.77,181.89,-185.39
12286.39,19.61,181.89,-191.29
12540.5,15.69,181.89,-192.45
12671.3,22.8,181.89,-196.37
12886.04,33.53,189.0,-196.37
12996.38,42.57,199.73,-196.37
13198.44,39.64,208.77,-196.37
13340.47,23.67,208.77,-199.3
13486.47,30.05,208.77,-215.27
13611.7,30.45,215.15,-215.27
13784.92,27.47,215.55,-215.27
14085.39,34.96,215.55,-218.25
14254.9,38.54,223.04,-218.25
14411.11,37.12,226.62,-218.25
14661.0,40.49,226.62,-219.67
14837.03,37.81,229.99,-219.67
15040.23,41.43,229.99,-222.35
15279.26,35.67,233.61,-222.35
15482.52,33.25,233.61,-228.11
16001.53,30.94,233.61,-230.53
16082.81,34.7,233.61,-232.84
16297.73,30.74,237.37,-232.84
16441.97,37.8,237.37,-236.8
16708.56,31.6,244.43,-236.8
16990.92,27.83,244.43,-243.0
17194.51,29.72,244.43,-246.77
17348.66,31.71,246.32,-246.77
17525.07,29.24,248.31,-246.77
17830.08,20.46,248.31,-249.24
17935.78,26.63,248.31,-258.02
18067.06,24.02,254.48,-258.02
