Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,28.71,0,0
81.13,25.33,0,0.0
165.68,26.95,0,-3.38
325.73,24.47,1.62,-3.38
488.66,33.67,1.62,-5.86
667.41,37.49,10.82,-5.86
819.98,37.02,14.64,-5.86
927.35,45.48,14.64,-6.33
971.35,50.99,23.1,-6.33
1017.01,44.69,28.61,-6.33
1062.72,45.69,28.61,-12.63
1201.39,29.07,29.61,-12.63
1374.53,31.31,29.61,-29.25
1543.5,29.22,31.85,-29.25
1623.01,23.12,31.85,-31.34
1782.48,14.25,31.85,-37.44
1853.48,20.31,31.85,-46.31
1915.18,23.84,37.91,-46.31
1996.99,20.06,41.44,-46.31
2093.55,23.63,41.44,-50.09
2160.21,24.63,45.01,-50.09
2225.25,27.34,46.01,-50.09
2636.11,29.43,48.72,-50.09
2726.68,32.9,50.81,-50.09
2803.54,31.53,54.28,-50.09
2833.69,29.29,54.28,-51.46
2886.34,27.23,54.28,-53.7
2966.79,21.39,54.28,-55.76
3043.58,20.5,54.28,-61.6
3133.49,14.35,54.28,-62.49
3195.59,20.61,54.28,-68.64
3411.05,28.64,60.54,-68.64
3537.91,28.86,68.57,-68.64
3776.39,35.24,68.79,-68.64
3864.25,37.38,75.17,-68.64
3910.13,34.82,77.31,-68.64
3976.35,34.86,77.31,-71.2
4034.35,36.74,77.35,-71.2
4082.37,39.3,79.23,-71.2
4130.54,38.83,81.79,-71.2
4677.63,40.86,81.79,-71.67
4764.48,37.23,83.82,-71.67
4858.25,40.76,83.82,-75.3
4921.91,37.24,87.35,-75.3
4975.73,37.62,87.35,-78.82
5044.11,42.09,87.73,-78.82
5111.77,39.6,92.2,-78.82
5183.03,35.71,92.2,-81.31
5256.28,36.23,92.2,-85.2
5301.94,35.51,92.72,-85.2
5360.75,34.0,92.72,-85.92
5420.63,34.0,92.72,-87.43
5480.5,34.0,92.72,-87.43
5549.54,34.0,92.72,-87.43
5613.92,37.01,92.72,-87.43
5654.6,38.6,95.73,-87.43
5706.31,36.58,97.32,-87.43
5972.46,38.87,97.32,-89.45
6012.42,38.52,99.61,-89.45
6045.67,37.54,99.61,-89.8
6167.09,36.89,99.61,-90.78
6226.1,34.89,99.61,-91.43
6285.82,35.21,99.61,-93.43
6342.14,36.02,99.93,-93.43
6398.13,36.21,100.74,-93.43
6440.61,36.56,100.93,-93.43
6495.62,34.75,101.28,-93.43
6557.27,34.73,101.28,-95.24
6649.63,37.17,101.28,-95.26
6786.43,34.99,103.72,-95.26
7005.86,32.73,103.72,-97.44
7099.29,29.61,103.72,-99.7
7541.43,27.0,103.72,-102.82
7586.73,25.14,103.72,-105.43
7691.82,26.35,103.72,-107.29
7731.56,28.15,104.93,-107.29
7771.93,29.01,106.73,-107.29
7832.28,35.99,107.59,-107.29
7894.42,26.46,114.57,-107.29
7978.06,22.59,114.57,-116.82
8062.36,20.07,114.57,-120.69
8155.42,23.94,114.57,-123.21
8223.67,30.31,118.44,-123.21
8334.48,27.26,124.81,-123.21
8373.3,25.35,124.81,-126.26
8494.68,19.15,124.81,-128.17
8701.95,20.27,124.81,-134.37
8830.94,28.03,125.93,-134.37
8907.92,44.56,133.69,-134.37
8946.0,56.14,150.22,-134.37
9054.04,36.8,161.8,-134.37
9106.04,41.91,161.8,-153.71
9187.39,31.55,166.91,-153.71
9494.58,26.39,166.91,-164.07
9660.28,22.12,166.91,-169.23
9930.42,27.43,166.91,-173.5
10500.54,19.27,172.22,-173.5
10659.2,20.68,172.22,-181.66
10755.16,28.36,173.63,-181.66
