Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,38.83,0,0
48.61,40.88,0,0.0
519.12,48.34,2.05,0.0
874.76,44.31,9.51,0.0
1048.1,37.24,9.51,-4.03
1158.1,35.37,9.51,-11.1
1528.98,24.28,9.51,-12.97
1723.96,22.86,9.51,-24.06
1822.59,28.22,9.51,-25.48
1973.2,23.8,14.87,-25.48
2138.73,30.27,14.87,-29.9
2333.7,27.33,21.34,-29.9
2631.49,34.6,21.34,-32.84
2723.18,38.89,28.61,-32.84
3945.96,17.95,32.9,-32.84
5084.65,14.67,32.9,-53.78
6286.79,-0.53,32.9,-57.06
7217.98,1.92,32.9,-72.26
8375.99,9.51,35.35,-72.26
9636.28,5.84,42.94,-72.26
9809.75,3.27,42.94,-75.93
10854.54,0.87,42.94,-78.5
12355.27,1.1,42.94,-80.9
13421.93,3.18,43.17,-80.9
13640.24,25.53,45.25,-80.9
14110.52,1.9500000000000002,67.6,-80.9
14203.26,1.71,67.6,-104.48
14375.04,0.0,67.6,-104.72
14473.55,0.0,67.6,-106.43
15285.4,1.0,67.6,-106.43
15695.03,0.0,68.6,-106.43
15876.32,0.0,68.6,-107.43
16786.63,-0.8300000000000001,68.6,-107.43
17239.41,21.76,68.6,-108.26
17865.35,27.0,91.19,-108.26
18915.38,27.0,96.43,-108.26
19898.75,5.8100000000000005,96.43,-108.26
20291.26,4.45,96.43,-129.45
21069.43,4.73,96.43,-130.81
21316.25,1.13,96.71,-130.81
21969.81,1.0,96.71,-134.41
23074.79,99.0,96.71,-134.54
23196.36,72.83,194.71,-134.54
25085.72,30.78,194.71,-160.71
26925.15,34.51,194.71,-202.76
27400.25,29.4,198.44,-202.76
27921.6,37.4,198.44,-207.87
