Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,45.59,0,0
7.93,46.47,0,0.0
9.8,46.57,0.88,0.0
11.96,46.63,0.98,0.0
15.57,46.69,1.04,0.0
19.85,46.56,1.1,0.0
23.95,46.56,1.1,-0.13
27.36,46.64,1.1,-0.13
30.3,46.78,1.18,-0.13
33.17,46.99,1.32,-0.13
36.29,47.21,1.53,-0.13
39.08,47.42,1.75,-0.13
42.03,47.63,1.96,-0.13
44.9,47.83,2.17,-0.13
47.34,48.01,2.37,-0.13
49.96,48.2,2.55,-0.13
52.06,48.38,2.74,-0.13
54.73,48.6,2.92,-0.13
57.85,48.87,3.14,-0.13
61.2,49.15,3.41,-0.13
64.78,49.43,3.69,-0.13
68.58,49.53,3.97,-0.13
72.13,49.35,4.07,-0.13
75.49,49.16,4.07,-0.31
78.32,49.01,4.07,-0.5
80.44,48.91,4.07,-0.65
82.24,48.85,4.07,-0.75
86.62,48.8,4.07,-0.81
91.02,48.73,4.07,-0.86
93.08,48.69,4.07,-0.93
95.24,48.65,4.07,-0.97
97.94,48.6,4.07,-1.01
100.9,48.54,4.07,-1.06
103.92,48.49,4.07,-1.12
107.29,48.4,4.07,-1.17
110.49,48.29,4.07,-1.26
113.57,48.15,4.07,-1.37
116.84,47.99,4.07,-1.51
120.03,47.84,4.07,-1.67
123.24,47.68,4.07,-1.82
126.78,47.5,4.07,-1.98
130.35,47.3,4.07,-2.16
134.39,47.07,4.07,-2.36
137.85,46.87,4.07,-2.59
141.57,46.65,4.07,-2.79
144.87,46.48,4.07,-3.01
147.83,46.32,4.07,-3.18
151.37,46.15,4.07,-3.34
155.64,45.95,4.07,-3.51
160.02,45.75,4.07,-3.71
164.32,45.57,4.07,-3.91
168.63,45.41,4.07,-4.09
173.17,45.25,4.07,-4.25
177.52,45.09,4.07,-4.41
182.01,44.91,4.07,-4.57
185.99,44.74,4.07,-4.75
189.5,44.58,4.07,-4.92
192.32,44.46,4.07,-5.08
195.05,44.35,4.07,-5.2
201.04,44.14,4.07,-5.31
203.6,44.06,4.07,-5.52
206.13,43.98,4.07,-5.6
209.01,43.89,4.07,-5.68
212.56,43.77,4.07,-5.77
216.46,43.65,4.07,-5.89
220.14,43.86,4.07,-6.01
223.32,44.07,4.28,-6.01
226.81,44.29,4.49,-6.01
231.38,44.59,4.71,-6.01
236.88,44.95,5.01,-6.01
242.39,45.34,5.37,-6.01
248.25,45.75,5.76,-6.01
256.07,46.3,6.17,-6.01
263.06,46.71,6.72,-6.01
268.38,46.89,7.13,-6.01
344.16,48.19,7.31,-6.01
346.92,47.79,8.61,-6.01
352.31,47.07,8.61,-6.41
356.56,46.47,8.61,-7.13
360.36,45.9,8.61,-7.73
364.27,45.26,8.61,-8.3
368.06,44.62,8.61,-8.94
371.61,44.0,8.61,-9.58
374.76,43.44,8.61,-10.2
378.0,42.85,8.61,-10.76
381.36,42.24,8.61,-11.35
384.77,41.61,8.61,-11.96
388.27,40.97,8.61,-12.59
391.57,40.36,8.61,-13.23
394.74,39.76,8.61,-13.84
397.84,39.16,8.61,-14.44
400.68,38.68,8.61,-15.04
403.28,38.23,8.61,-15.52
405.41,37.85,8.61,-15.97
407.1,37.57,8.61,-16.35
411.51,37.17,8.61,-16.63
414.41,37.26,8.61,-17.03
417.44,37.32,8.7,-17.03
420.58,37.38,8.76,-17.03
423.86,37.41,8.82,-17.03
427.29,37.41,8.85,-17.03
430.73,37.4,8.85,-17.03
434.09,37.37,8.85,-17.04
437.32,37.35,8.85,-17.07
440.57,37.32,8.85,-17.09
443.58,37.28,8.85,-17.12
446.41,37.31,8.85,-17.16
449.0,37.35,8.88,-17.16
451.71,37.37,8.92,-17.16
454.65,37.39,8.94,-17.16
456.53,37.36,8.96,-17.16
458.7,37.29,8.96,-17.19
461.07,37.14,8.96,-17.26
463.86,36.93,8.96,-17.41
466.34,36.72,8.96,-17.62
469.61,36.45,8.96,-17.83
472.77,36.22,8.96,-18.1
475.79,35.99,8.96,-18.33
478.63,35.83,8.96,-18.56
481.32,35.67,8.96,-18.72
483.81,35.55,8.96,-18.88
486.8,35.41,8.96,-19.0
489.79,35.26,8.96,-19.14
493.06,35.09,8.96,-19.29
496.33,34.92,8.96,-19.46
499.83,34.74,8.96,-19.63
503.28,34.54,8.96,-19.81
507.12,34.35,8.96,-20.01
511.37,34.22,8.96,-20.2
515.58,34.16,8.96,-20.33
520.03,34.12,8.96,-20.39
524.31,34.11,8.96,-20.43
528.22,34.13,8.96,-20.44
531.92,34.14,8.98,-20.44
535.43,34.14,8.99,-20.44
538.83,34.15,8.99,-20.44
542.47,34.17,9.0,-20.44
546.35,34.22,9.02,-20.44
549.03,34.28,9.07,-20.44
553.11,34.38,9.13,-20.44
557.15,34.49,9.23,-20.44
561.3,34.68,9.34,-20.44
565.51,34.92,9.53,-20.44
569.71,35.23,9.77,-20.44
574.07,35.61,10.08,-20.44
578.63,36.03,10.46,-20.44
583.2,36.47,10.88,-20.44
587.44,36.84,11.32,-20.44
591.55,37.12,11.69,-20.44
595.19,37.28,11.97,-20.44
598.5,37.38,12.13,-20.44
601.75,37.43,12.23,-20.44
604.64,37.43,12.28,-20.44
607.46,37.43,12.28,-20.44
610.19,37.41,12.28,-20.44
612.76,37.33,12.28,-20.46
615.12,37.25,12.28,-20.54
617.49,37.19,12.28,-20.62
619.97,37.16,12.28,-20.68
622.45,37.13,12.28,-20.71
625.06,37.11,12.28,-20.74
630.64,37.14,12.28,-20.76
636.0,37.31,12.31,-20.76
638.22,37.42,12.48,-20.76
640.64,37.51,12.59,-20.76
642.92,37.57,12.68,-20.76
645.29,37.62,12.74,-20.76
647.84,37.67,12.79,-20.76
650.31,37.73,12.84,-20.76
653.05,37.8,12.9,-20.76
655.84,37.87,12.97,-20.76
661.25,38.07,13.04,-20.76
