Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
569.69,17.25,5.26,-19.09
571.5,17.25,5.26,-19.1
573.33,17.25,5.26,-19.1
575.16,17.26,5.26,-19.1
579.21,17.24,5.27,-19.1
582.84,17.17,5.27,-19.12
586.27,17.02,5.27,-19.19
589.63,16.88,5.27,-19.34
592.93,16.7,5.27,-19.48
596.21,16.52,5.27,-19.66
599.51,16.36,5.27,-19.84
602.65,16.19,5.27,-20.0
605.78,16.02,5.27,-20.17
609.27,15.83,5.27,-20.34
612.79,15.66,5.27,-20.53
616.34,15.48,5.27,-20.7
619.75,15.31,5.27,-20.88
624.75,15.07,5.27,-21.05
627.84,14.92,5.27,-21.29
631.08,14.76,5.27,-21.44
634.6,14.6,5.27,-21.6
638.61,14.44,5.27,-21.76
640.42,14.37,5.27,-21.92
642.47,14.29,5.27,-21.99
644.78,14.2,5.27,-22.07
647.15,14.12,5.27,-22.16
649.69,14.02,5.27,-22.24
652.08,13.93,5.27,-22.34
654.49,13.84,5.27,-22.43
656.9,13.75,5.27,-22.52
658.97,13.67,5.27,-22.61
661.11,13.59,5.27,-22.69
663.28,13.5,5.27,-22.77
665.45,13.42,5.27,-22.86
667.67,13.33,5.27,-22.94
669.88,13.27,5.27,-23.03
672.02,13.27,5.27,-23.09
674.03,13.28,5.27,-23.09
676.01,13.29,5.28,-23.09
677.87,13.3,5.29,-23.09
679.65,13.31,5.3,-23.09
681.39,13.33,5.31,-23.09
685.46,13.37,5.33,-23.09
689.64,13.4,5.37,-23.09
691.42,13.41,5.4,-23.09
693.34,13.43,5.41,-23.09
695.23,13.46,5.43,-23.09
697.25,13.49,5.46,-23.09
699.27,13.52,5.49,-23.09
701.23,13.56,5.52,-23.09
706.97,13.7,5.56,-23.09
709.79,13.77,5.7,-23.09
713.46,13.85,5.77,-23.09
715.28,13.88,5.85,-23.09
717.62,13.92,5.88,-23.09
720.18,13.96,5.92,-23.09
722.56,14.0,5.96,-23.09
724.85,14.05,6.0,-23.09
726.8,14.09,6.05,-23.09
728.71,14.14,6.09,-23.09
730.49,14.19,6.14,-23.09
734.48,14.31,6.19,-23.09
