Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,52.38,0,0
289.48,37.18,0,0.0
621.45,29.0,0,-15.2
734.94,27.29,0,-23.38
906.41,34.66,0,-25.09
1060.96,35.58,7.37,-25.09
1133.95,40.59,8.29,-25.09
1183.3,44.51,13.3,-25.09
1266.66,41.45,17.22,-25.09
1312.87,42.45,17.22,-28.15
1383.41,37.5,18.22,-28.15
1469.62,26.75,18.22,-33.1
1541.34,22.52,18.22,-43.85
1639.36,29.32,18.22,-48.08
1697.68,30.8,25.02,-48.08
1785.08,30.45,26.5,-48.08
1953.36,27.07,26.5,-48.43
2027.7,26.19,26.5,-51.81
2225.28,35.54,26.5,-52.69
2288.98,35.17,35.85,-52.69
2355.31,38.26,35.85,-53.06
2435.64,37.9,38.94,-53.06
2540.54,37.1,38.94,-53.42
2609.79,36.92,38.94,-54.22
2795.3,40.01,38.94,-54.4
2858.0,39.95,42.03,-54.4
2974.68,34.64,42.03,-54.46
3049.62,39.76,42.03,-59.77
3145.27,40.92,47.15,-59.77
3229.06,41.32,48.31,-59.77
3299.96,39.49,48.71,-59.77
3395.89,38.74,48.71,-61.6
3457.76,35.2,48.71,-62.35
3541.13,34.53,48.71,-65.89
3627.95,33.72,48.71,-66.56
3688.16,29.6,48.71,-67.37
3835.29,28.26,48.71,-71.49
3966.97,25.72,48.71,-72.83
4086.47,27.37,48.71,-75.37
4191.85,32.17,50.36,-75.37
4260.49,34.37,55.16,-75.37
4367.76,33.24,57.36,-75.37
4463.78,30.48,57.36,-76.5
4526.78,36.27,57.36,-79.26
4576.16,36.73,63.15,-79.26
4643.11,33.44,63.61,-79.26
4704.85,25.82,63.61,-82.55
4757.43,24.71,63.61,-90.17
4835.22,27.71,63.61,-91.28
4866.13,29.84,66.61,-91.28
4934.77,32.79,68.74,-91.28
5028.91,31.72,71.69,-91.28
5068.7,30.0,71.69,-92.35
5128.83,26.29,71.69,-94.07
5204.22,21.29,71.69,-97.78
5294.03,19.28,71.69,-102.78
5341.51,15.77,71.69,-104.79
5404.85,18.9,71.69,-108.3
5597.68,27.78,74.82,-108.3
5697.3,28.88,83.7,-108.3
5800.9,30.43,84.8,-108.3
6029.99,36.48,86.35,-108.3
6110.33,36.48,92.4,-108.3
6164.29,33.58,92.4,-108.3
6270.19,42.23,92.4,-111.2
6326.03,47.54,101.05,-111.2
6552.54,41.77,106.36,-111.2
6991.93,44.24,106.36,-116.97
7033.57,43.21,108.83,-116.97
7093.69,41.13,108.83,-118.0
7154.32,39.04,108.83,-120.08
7214.44,36.2,108.83,-122.17
7275.23,34.75,108.83,-125.01
7355.5,34.73,108.83,-126.46
7496.01,23.52,108.83,-126.48
7607.27,25.34,108.83,-137.69
7679.29,24.29,110.65,-137.69
7726.62,25.12,110.65,-138.74
7800.79,25.64,111.48,-138.74
7882.38,22.99,112.0,-138.74
7941.29,27.09,112.0,-141.39
8023.78,28.01,116.1,-141.39
8117.14,23.42,117.02,-141.39
8188.24,25.55,117.02,-145.98
8251.51,28.53,119.15,-145.98
8299.25,30.44,122.13,-145.98
8397.13,30.22,124.04,-145.98
8491.17,24.59,124.04,-146.2
8591.03,24.97,124.04,-151.83
8714.85,39.93,124.42,-151.83
8785.46,41.89,139.38,-151.83
8849.16,42.49,141.34,-151.83
8920.33,43.78,141.94,-151.83
8969.45,38.65,143.23,-151.83
9038.5,33.94,143.23,-156.96
9303.17,36.44,143.23,-161.67
9479.52,28.13,145.73,-161.67
9776.87,35.0,145.73,-169.98
10104.07,52.03,152.6,-169.98
