Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,23.17,0,0
202.67,24.28,0,0.0
354.75,32.86,1.11,0.0
1659.54,6.0,9.69,0.0
1976.7,6.0,9.69,-26.86
2187.99,-4.0,9.69,-26.86
2714.95,12.69,9.69,-36.86
2999.44,16.53,26.38,-36.86
3272.48,16.05,30.22,-36.86
3634.28,16.05,30.22,-37.34
4001.9,16.05,30.22,-37.34
4413.36,35.0,30.22,-37.34
4592.09,30.0,49.17,-37.34
4788.95,15.66,49.17,-42.34
5012.47,31.05,49.17,-56.68
5864.4,34.25,64.56,-56.68
7196.67,25.69,67.76,-56.68
7653.68,10.73,67.76,-65.24
7802.74,3.77,67.76,-80.2
8145.12,7.26,67.76,-87.16
8571.33,2.23,71.25,-87.16
8743.41,3.04,71.25,-92.19
9221.97,1.51,72.06,-92.19
9507.3,5.0,72.06,-93.72
9982.43,4.17,75.55,-93.72
10322.84,4.51,75.55,-94.55
10679.52,5.87,75.89,-94.55
11117.21,18.76,77.25,-94.55
11433.39,4.97,90.14,-94.55
11731.12,4.97,90.14,-108.34
12407.82,2.37,90.14,-108.34
12767.41,27.0,90.14,-110.94
13099.78,4.0,114.77,-110.94
13347.52,7.88,114.77,-133.94
