Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,35.91,0,0
616.66,46.25,0,0.0
780.44,48.08,10.34,0.0
824.6,43.99,12.17,0.0
1112.61,43.22,12.17,-4.09
1261.31,37.79,12.17,-4.86
1391.17,35.03,12.17,-10.29
1558.41,23.37,12.17,-13.05
1752.27,24.43,12.17,-24.71
1960.98,23.54,13.23,-24.71
2111.89,19.98,13.23,-25.6
2185.12,21.77,13.23,-29.16
2273.19,26.8,15.02,-29.16
2346.95,19.5,20.05,-29.16
2410.12,18.72,20.05,-36.46
2568.63,9.26,20.05,-37.24
2669.89,16.07,20.05,-46.7
2772.31,19.92,26.86,-46.7
2910.92,32.4,30.71,-46.7
3015.79,34.12,43.19,-46.7
3077.38,37.88,44.91,-46.7
3117.16,41.85,48.67,-46.7
3176.47,43.95,52.64,-46.7
3269.1,42.34,54.74,-46.7
3348.75,37.96,54.74,-48.31
3450.08,26.09,54.74,-52.69
3557.61,27.39,54.74,-64.56
3683.57,31.46,56.04,-64.56
3753.04,30.42,60.11,-64.56
3839.01,28.16,60.11,-65.6
3931.65,26.19,60.11,-67.86
4071.26,33.2,60.11,-69.83
4236.53,35.19,67.12,-69.83
4367.19,38.13,69.11,-69.83
4487.04,37.76,72.05,-69.83
4674.64,41.07,72.05,-70.2
4817.18,38.01,75.36,-70.2
4896.51,34.67,75.36,-73.26
4969.21,39.62,75.36,-76.6
5094.78,41.41,80.31,-76.6
5201.59,39.71,82.1,-76.6
5307.24,39.27,82.1,-78.3
5419.79,34.74,82.1,-78.74
5561.05,32.43,82.1,-83.27
5723.19,29.19,82.1,-85.58
5945.87,24.55,82.1,-88.82
6142.85,34.78,82.1,-93.46
6287.97,33.24,92.33,-93.46
6411.71,33.38,92.33,-95.0
6445.07,36.75,92.47,-95.0
6560.89,32.06,95.84,-95.0
6687.26,25.36,95.84,-99.69
6830.01,33.21,95.84,-106.39
6942.22,30.21,103.69,-106.39
7099.84,21.26,103.69,-109.39
7195.96,20.06,103.69,-118.34
7296.03,17.26,103.69,-119.54
7447.15,26.46,103.69,-122.34
7617.21,28.57,112.89,-122.34
7803.16,35.08,115.0,-122.34
7991.99,37.32,121.51,-122.34
8093.86,35.32,123.75,-122.34
8207.45,45.23,123.75,-124.34
8347.92,40.02,133.66,-124.34
8453.07,45.44,133.66,-129.55
9059.72,36.08,139.08,-129.55
