Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
0.0,46.62,0,0
2.87,46.89,0,0.0
22.03,49.3,0.27,0.0
24.78,49.14,2.68,0.0
30.64,49.83,2.68,-0.16
33.51,50.1,3.37,-0.16
36.21,50.35,3.64,-0.16
40.19,50.82,3.89,-0.16
44.35,51.4,4.36,-0.16
46.36,51.69,4.94,-0.16
49.43,52.13,5.23,-0.16
53.6,52.73,5.67,-0.16
61.2,53.45,6.27,-0.16
79.3,53.47,6.99,-0.16
94.26,50.69,7.01,-0.16
104.05,48.95,7.01,-2.94
112.07,47.68,7.01,-4.68
118.76,46.72,7.01,-5.95
126.52,45.83,7.01,-6.91
134.93,45.02,7.01,-7.8
143.4,44.15,7.01,-8.61
152.31,43.32,7.01,-9.48
163.07,42.53,7.01,-10.31
170.47,42.35,7.01,-11.1
178.52,42.31,7.01,-11.28
180.54,42.34,7.01,-11.32
183.92,42.3,7.04,-11.32
190.32,42.25,7.04,-11.36
198.98,42.22,7.04,-11.41
210.02,42.23,7.04,-11.44
216.43,42.25,7.05,-11.44
229.61,42.31,7.07,-11.44
241.75,42.67,7.13,-11.44
248.63,42.91,7.49,-11.44
255.5,43.17,7.73,-11.44
266.45,44.04,7.99,-11.44
277.74,44.6,8.86,-11.44
285.54,44.85,9.42,-11.44
293.55,45.16,9.67,-11.44
301.36,45.49,9.98,-11.44
308.89,45.77,10.31,-11.44
316.01,45.99,10.59,-11.44
322.64,46.13,10.81,-11.44
332.68,46.23,10.95,-11.44
342.46,46.05,11.05,-11.44
348.67,45.88,11.05,-11.62
355.5,45.64,11.05,-11.79
359.02,45.51,11.05,-12.03
362.3,45.39,11.05,-12.16
365.29,45.28,11.05,-12.28
368.1,45.17,11.05,-12.39
371.0,45.07,11.05,-12.5
373.8,44.99,11.05,-12.6
376.77,44.91,11.05,-12.68
379.93,44.85,11.05,-12.76
383.37,44.82,11.05,-12.82
387.41,44.79,11.05,-12.85
391.69,44.78,11.05,-12.88
396.02,44.78,11.05,-12.89
